q[nm-1]	merged(TipAS_1.96mgml-1_30deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=0.9995)	error
2.94886100e+00	2.01879514e-04	2.64923468e-05
2.95402200e+00	2.07718906e-04	2.64791462e-05
2.95918400e+00	2.04865864e-04	2.67652308e-05
2.96434600e+00	1.84261382e-04	2.69664078e-05
2.96950800e+00	1.42394432e-04	2.67919479e-05
2.97466900e+00	1.60899635e-04	2.71425213e-05
2.97983100e+00	2.08805983e-04	2.73936210e-05
2.98499300e+00	1.75506428e-04	2.73252491e-05
2.99015500e+00	1.91000385e-04	2.73353470e-05
2.99531700e+00	2.25295328e-04	2.72662690e-05
3.00047800e+00	1.55064423e-04	2.67041884e-05
3.00564000e+00	2.02216822e-04	2.63801277e-05
3.01080200e+00	1.72878382e-04	2.64764987e-05
3.01596400e+00	1.90388196e-04	2.61183913e-05
3.02112500e+00	1.89830073e-04	2.60648828e-05
3.02628700e+00	1.60753880e-04	2.61876922e-05
3.03144900e+00	2.00346812e-04	2.59874906e-05
3.03661100e+00	1.75223186e-04	2.58176383e-05
3.04177200e+00	2.04986629e-04	2.59597145e-05
3.04693400e+00	1.76914277e-04	2.58518707e-05
3.05209600e+00	1.65564534e-04	2.57265067e-05
3.05725800e+00	1.41140699e-04	2.58006382e-05
3.06241900e+00	1.76243656e-04	2.57237755e-05
3.06758100e+00	1.96202599e-04	2.56637550e-05
3.07274300e+00	1.76830949e-04	2.58872644e-05
3.07790500e+00	1.85694128e-04	2.56936306e-05
3.08306600e+00	1.77293296e-04	2.55959590e-05
3.08822800e+00	1.75956327e-04	2.57989940e-05
3.09339000e+00	2.08264581e-04	2.56524123e-05
3.09855200e+00	1.68625851e-04	2.55909147e-05
3.10371400e+00	1.75464811e-04	2.57151640e-05
3.10887500e+00	1.57684295e-04	2.54504642e-05
3.11403700e+00	2.27098824e-04	2.55583080e-05
3.11919900e+00	2.34745799e-04	2.57318111e-05
3.12436100e+00	1.81204246e-04	2.54714403e-05
3.12952200e+00	2.15174329e-04	2.54726758e-05
3.13468400e+00	1.57234396e-04	2.55776676e-05
3.13984600e+00	2.12358723e-04	2.52679780e-05
3.14500800e+00	1.31569462e-04	2.53989344e-05
3.15016900e+00	2.03387320e-04	2.53344456e-05
