q[nm-1]	merged(TipAS_1.96mgml-1_30degBack_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30degBACK_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30degBACK_1-2_ave_sub.dat],scale_high,lq=0.8992,hq=1.0068)	error
3.00564000e+00	1.95855586e-04	2.33339320e-05
3.01080200e+00	1.56164585e-04	2.34401012e-05
3.01596400e+00	2.15738736e-04	2.31340118e-05
3.02112500e+00	1.64399326e-04	2.30478750e-05
3.02628700e+00	1.92200282e-04	2.31504180e-05
3.03144900e+00	2.07771880e-04	2.30032080e-05
3.03661100e+00	1.82860352e-04	2.28387589e-05
3.04177200e+00	1.64848183e-04	2.29579353e-05
3.04693400e+00	1.44885778e-04	2.28611218e-05
3.05209600e+00	1.70732712e-04	2.27830451e-05
3.05725800e+00	1.47126445e-04	2.28174645e-05
3.06241900e+00	1.64018281e-04	2.27639718e-05
3.06758100e+00	1.65908192e-04	2.27059359e-05
3.07274300e+00	1.84870912e-04	2.29110724e-05
3.07790500e+00	1.37816720e-04	2.27014347e-05
3.08306600e+00	1.95753699e-04	2.26205142e-05
3.08822800e+00	1.64489770e-04	2.28297565e-05
3.09339000e+00	1.77058779e-04	2.26697833e-05
3.09855200e+00	1.45923071e-04	2.26086008e-05
3.10371400e+00	1.61389080e-04	2.27358541e-05
3.10887500e+00	1.49472786e-04	2.25215469e-05
3.11403700e+00	1.54402979e-04	2.26136909e-05
3.11919900e+00	1.65206511e-04	2.27507206e-05
3.12436100e+00	1.24183999e-04	2.25148750e-05
3.12952200e+00	1.53501479e-04	2.25146563e-05
3.13468400e+00	1.85508399e-04	2.26350779e-05
3.13984600e+00	1.53022417e-04	2.23441326e-05
3.14500800e+00	1.32494208e-04	2.24307490e-05
